# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
2a0a2d303132749099f15987b2f589fb0448b506	2.0	1.0	1.0	2.0	26.0	0.0	0.0	1.0	0.0	21.0	1.0	0.0	1.0	49.0	1.0	0.0	0.0	0.0	0.0	43.0	2.0	1.0	4.0	44.0
1b68af4a16b5fe53339ef4b75934d8ec197f6799	11.0	9.0	1.0	5.0	5.0	10.0	0.0	4.0	1.0	2.0	10.0	10.0	15.0	1.0	8.0	1.0	2.0	2.0	4.0	3.0	4.0	1.0	0.0	6.0
d4f8e5096e0bc55835c946ef522b6d7b1e65f6bb	4.0	14.0	0.0	2.0	6.0	12.0	6.0	11.0	1.0	8.0	1.0	7.0	2.0	3.0	7.0	4.0	2.0	1.0	0.0	12.0	2.0	1.0	2.0	8.0
490b1614d8e0c137dcbf15c41f22423bef08b3f5	0.0	28.0	14.0	0.0	0.0	0.0	11.0	25.0	11.0	17.0	1.0	0.0	0.0	0.0	16.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
543fede3fd96913b5a89af68d5ebee031f278b12	5.0	39.0	7.0	11.0	1.0	3.0	7.0	31.0	7.0	14.0	3.0	1.0	7.0	0.0	19.0	0.0	8.0	0.0	1.0	1.0	4.0	5.0	1.0	0.0
273b5514ed979ae35beac0412d7142d67a736f0c	1.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	9.0
215545b160895e972d689d025ef6efa46e9c7a0a	0.0	20.0	4.0	1.0	0.0	0.0	10.0	13.0	14.0	8.0	0.0	0.0	1.0	0.0	34.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
c84b1ade7c7541b7d296dc760d73ef48f58ce8cb	3.0	8.0	1.0	2.0	1.0	3.0	2.0	9.0	5.0	3.0	6.0	3.0	8.0	0.0	4.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0
69b8826e41e75642226314f2000c1fb431b04257	0.0	2.0	0.0	4.0	2.0	3.0	1.0	9.0	0.0	0.0	1.0	5.0	4.0	1.0	1.0	9.0	0.0	7.0	2.0	0.0	12.0	9.0	9.0	1.0
1a9d56403819667b2edb82b3208fb2a739c83017	0.0	25.0	3.0	1.0	1.0	0.0	4.0	29.0	5.0	9.0	1.0	0.0	0.0	0.0	13.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3344b89b2b2b5712e8326b07591cf19e0da5170e	0.0	35.0	5.0	1.0	0.0	0.0	16.0	24.0	11.0	15.0	0.0	1.0	0.0	0.0	14.0	0.0	9.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
a7574c37685b3abd2705df999bb26d1a8b7044ef	2.0	41.0	8.0	9.0	2.0	4.0	9.0	56.0	7.0	30.0	3.0	1.0	1.0	0.0	13.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
c4c19669dcefec2534f89af30b60ceec57afa4c2	2.0	72.0	12.0	4.0	1.0	0.0	24.0	43.0	13.0	27.0	0.0	1.0	2.0	1.0	66.0	0.0	31.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
bd1a8fda47afaa30a018cabd08cc3e2071021fc7	0.0	4.0	1.0	0.0	12.0	5.0	20.0	1.0	1.0	27.0	2.0	1.0	5.0	8.0	3.0	0.0	0.0	1.0	0.0	22.0	0.0	0.0	0.0	4.0
e53bed31717611e0a3d47514aae18a320ea191ac	6.0	1.0	0.0	5.0	4.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	8.0	1.0	6.0	0.0	10.0	3.0	3.0	6.0	8.0	14.0	1.0
43ab9c091cb3ed37103b308193fb2f4e8e72dcf0	0.0	2.0	6.0	0.0	15.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	25.0	4.0	13.0	0.0	4.0	3.0	0.0	6.0	1.0	0.0	1.0	5.0
33b82cda7c7f2e2109f9c58ff4c798d32292d2fc	4.0	20.0	5.0	0.0	2.0	14.0	2.0	14.0	1.0	0.0	0.0	14.0	8.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
aed488b275b9c35931d3d5e8b3ade6b44308fd09	0.0	27.0	7.0	0.0	0.0	3.0	6.0	18.0	9.0	11.0	0.0	0.0	0.0	0.0	22.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5cdfd5798c3672ba8e95f2e5e05310a0c5c9ccf3	2.0	9.0	2.0	5.0	8.0	14.0	0.0	2.0	2.0	1.0	2.0	10.0	13.0	21.0	1.0	8.0	0.0	4.0	4.0	12.0	1.0	1.0	0.0	11.0
df1282d3a458be09094f381fcbaa6dbc5826b3a0	0.0	9.0	5.0	0.0	0.0	0.0	4.0	11.0	8.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56d0073f70761f3f4bb1b28d475850d7289fb222	2.0	14.0	5.0	2.0	39.0	0.0	28.0	20.0	5.0	20.0	1.0	1.0	1.0	13.0	17.0	0.0	6.0	1.0	0.0	27.0	0.0	0.0	0.0	3.0
35f69d1623b15055a09903fa2e316d1d9c0543bd	2.0	20.0	0.0	1.0	1.0	4.0	5.0	11.0	5.0	11.0	2.0	4.0	2.0	3.0	20.0	0.0	1.0	0.0	1.0	3.0	1.0	2.0	3.0	4.0
